"Notes"	"State of Residence"	"State of Residence Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births	Average Age of Mother (years)	Standard Deviation for Average Age of Mother	Average OE Gestational Age (weeks)	Standard Deviation for Average OE Gestational Age	Average LMP Gestational Age (weeks)	Standard Deviation for Average LMP Gestational Age	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Standard Deviation for Average Interval Since Last Live Birth
	"Indiana"	"18"	"2"	"2"	184	27.12	6.13	32.76	7.34	32.98	7.38	2270.21	1300.38	28.92	7.62	8.84	4.93	47.00	39.41
	"Indiana"	"18"	"3"	"3"	193	27.41	5.37	34.22	5.86	34.40	6.06	2360.39	1122.30	29.01	7.74	9.35	6.02	48.47	36.09
	"Indiana"	"18"	"4"	"4"	242	27.40	5.68	34.77	5.28	34.76	5.52	2550.55	1083.18	29.89	8.39	10.08	4.94	48.11	36.13
	"Indiana"	"18"	"5"	"5"	459	28.19	5.87	36.06	4.47	36.22	4.68	2809.72	968.97	28.74	8.04	10.44	4.72	50.30	37.57
	"Indiana"	"18"	"6"	"6"	930	27.48	5.97	36.39	4.19	36.61	4.27	2870.55	952.08	28.97	8.28	10.50	4.70	50.86	36.96
	"Indiana"	"18"	"7"	"7"	2084	27.70	5.73	36.84	3.63	37.00	3.78	2948.53	874.88	28.77	7.83	10.72	4.42	52.02	40.98
	"Indiana"	"18"	"8"	"8"	8739	27.92	5.67	37.92	2.53	38.04	2.81	3197.24	697.16	28.68	7.58	11.21	4.08	48.28	36.48
	"Indiana"	"18"	"9"	"9"	66271	27.90	5.57	38.66	1.55	38.77	1.91	3326.07	522.80	27.79	7.10	11.42	3.75	46.87	34.53
	"Indiana"	"18"	"10"	"10"	1973	28.01	5.54	38.97	1.28	39.07	1.75	3393.11	476.60	26.57	6.58	10.97	3.63	39.88	28.45
	"Indiana"	"18"	"Unknown or Not Stated"	"99"	307	28.43	5.82	36.72	5.13	36.91	5.30	2952.66	926.41	25.97	6.55	6.74	5.34	39.00	29.53
	"Iowa"	"19"	"0"	"0"	10	29.60	5.50	29.33	7.82	29.89	7.48	2023.44	1518.48	33.52	9.58	7.20	4.62	40.50	24.26
	"Iowa"	"19"	"1"	"1"	56	27.96	6.50	27.33	8.19	27.85	8.72	1555.66	1287.66	28.78	7.62	6.75	4.58	40.15	21.11
	"Iowa"	"19"	"2"	"2"	57	26.39	5.49	34.72	6.59	34.84	6.94	2745.89	1267.12	30.98	8.47	10.46	4.65	53.71	47.95
	"Iowa"	"19"	"3"	"3"	65	28.85	5.59	35.60	4.97	35.97	5.24	2748.38	985.13	29.38	9.49	10.62	4.56	54.90	38.91
	"Iowa"	"19"	"4"	"4"	76	28.47	5.20	36.12	5.16	36.79	5.27	2934.58	1010.55	29.78	7.46	11.46	4.49	41.37	27.90
	"Iowa"	"19"	"5"	"5"	175	27.83	4.96	36.41	4.07	36.84	4.18	2890.47	968.43	29.77	8.27	11.24	3.99	47.33	33.13
	"Iowa"	"19"	"6"	"6"	355	28.62	5.32	35.66	4.62	35.91	4.90	2777.92	1069.06	29.34	7.91	10.84	4.43	55.61	46.02
	"Iowa"	"19"	"7"	"7"	858	28.50	5.31	36.74	3.81	37.08	4.11	2986.74	908.80	29.19	8.12	11.05	4.38	48.62	37.71
	"Iowa"	"19"	"8"	"8"	3864	28.51	5.48	37.73	2.64	38.00	2.98	3207.93	722.46	28.32	7.39	11.61	3.98	47.56	35.91
	"Iowa"	"19"	"9"	"9"	30874	28.52	5.30	38.67	1.54	38.86	2.05	3376.77	519.45	27.45	6.86	12.01	3.37	45.59	32.77
	"Iowa"	"19"	"10"	"10"	1241	28.47	5.38	38.96	1.26	39.09	1.78	3392.61	473.33	26.54	6.12	10.50	3.92	39.74	29.01
	"Iowa"	"19"	"Unknown or Not Stated"	"99"	154	29.34	5.78	37.82	5.04	37.91	5.11	3295.62	959.21	25.91	5.44	5.25	5.15	32.06	25.26
	"Kansas"	"20"	"0"	"0"	25	30.32	6.33	28.36	8.92	28.60	8.68	2051.40	1410.19	30.57	7.58	5.32	3.82	49.14	49.10
	"Kansas"	"20"	"1"	"1"	79	28.68	5.80	27.08	7.92	27.34	7.88	1509.90	1283.15	30.57	9.52	6.28	4.97	58.42	56.01
	"Kansas"	"20"	"2"	"2"	43	27.21	6.01	31.02	8.11	31.30	8.00	1921.49	1352.27	30.20	8.37	7.70	5.70	47.55	44.96
	"Kansas"	"20"	"3"	"3"	38	26.76	5.83	35.29	5.73	35.66	5.85	2650.63	1079.95	26.58	6.76	9.63	4.23	32.67	20.41
	"Kansas"	"20"	"4"	"4"	100	26.80	5.58	35.91	5.07	36.07	5.15	2835.31	1103.28	29.50	7.64	9.64	4.81	56.29	52.82
	"Kansas"	"20"	"5"	"5"	158	27.84	5.39	36.02	4.45	36.17	4.66	2823.61	987.58	28.08	7.20	9.47	4.02	56.14	45.13
	"Kansas"	"20"	"6"	"6"	365	28.07	6.05	36.02	4.47	36.17	4.50	2819.13	999.85	28.70	7.56	9.80	4.12	45.72	32.96
	"Kansas"	"20"	"7"	"7"	689	28.40	5.89	36.84	3.73	36.88	3.88	2975.46	888.81	28.46	6.99	10.25	3.83	49.20	34.22
	"Kansas"	"20"	"8"	"8"	3122	28.03	5.67	37.65	2.71	37.72	2.82	3174.99	732.29	28.19	7.47	10.70	3.37	47.91	33.99
	"Kansas"	"20"	"9"	"9"	30723	28.29	5.55	38.62	1.50	38.68	1.71	3334.69	512.43	27.43	6.75	11.25	3.01	46.80	34.02
	"Kansas"	"20"	"10"	"10"	805	28.77	5.46	39.07	1.34	39.11	1.67	3424.21	486.32	26.13	6.38	10.94	2.99	40.95	29.12
	"Kansas"	"20"	"Unknown or Not Stated"	"99"	114	28.05	5.45	37.78	4.30	37.85	4.35	3142.29	898.37	27.77	6.92	6.23	4.54	27.18	18.47
	"Kentucky"	"21"	"0"	"0"	15	26.47	5.29	29.80	8.30	30.33	9.22	1749.07	1336.34	27.53	6.45	7.00	3.96	34.80	25.62
	"Kentucky"	"21"	"1"	"1"	116	28.03	6.46	28.70	7.67	29.02	7.94	1564.08	1239.38	30.18	7.70	7.83	5.05	60.49	48.34
	"Kentucky"	"21"	"2"	"2"	106	26.98	5.99	32.31	7.26	32.72	7.55	2068.17	1305.38	28.34	7.86	9.10	4.82	46.09	39.50
	"Kentucky"	"21"	"3"	"3"	88	28.65	6.61	33.16	6.00	33.32	6.23	2244.99	1198.50	29.18	8.48	8.78	5.32	63.34	49.35
	"Kentucky"	"21"	"4"	"4"	114	27.31	5.84	34.98	5.44	35.65	5.54	2562.28	1216.79	28.55	7.59	9.84	5.14	44.12	29.06
	"Kentucky"	"21"	"5"	"5"	273	28.23	6.25	35.52	5.21	35.68	5.48	2707.64	1090.02	28.18	8.26	8.69	4.47	44.49	38.78
	"Kentucky"	"21"	"6"	"6"	407	27.69	5.83	35.28	4.64	35.52	4.84	2660.93	1018.19	29.65	8.61	10.17	5.24	53.50	38.32
	"Kentucky"	"21"	"7"	"7"	1003	26.58	5.63	36.36	3.84	36.72	4.22	2889.22	914.01	28.79	8.19	10.93	4.88	49.60	40.84
	"Kentucky"	"21"	"8"	"8"	5843	27.17	5.81	37.62	2.53	37.92	2.97	3148.38	703.47	28.47	7.60	11.51	4.71	49.93	38.34
	"Kentucky"	"21"	"9"	"9"	44025	27.51	5.60	38.45	1.57	38.72	2.20	3301.67	535.05	27.75	7.26	11.97	4.22	47.85	35.02
	"Kentucky"	"21"	"10"	"10"	1776	26.93	5.57	38.77	1.32	38.90	2.05	3351.84	490.31	27.25	7.20	11.19	4.43	41.95	31.53
	"Kentucky"	"21"	"Unknown or Not Stated"	"99"	156	27.56	5.43	37.32	4.52	37.24	4.65	2927.35	1036.81	25.60	5.85	4.61	4.82	36.85	31.08
	"Louisiana"	"22"	"0"	"0"	34	26.65	6.71	30.67	7.60	30.61	7.70	1813.94	1095.63	28.96	9.67	5.44	5.02	54.06	38.89
	"Louisiana"	"22"	"1"	"1"	169	26.91	5.99	26.15	7.06	26.38	7.26	1193.89	1135.41	30.37	8.24	6.49	5.51	68.59	53.53
	"Louisiana"	"22"	"2"	"2"	106	26.08	5.78	30.29	7.59	30.76	7.93	1808.96	1257.84	29.72	9.04	8.80	6.34	52.09	41.83
	"Louisiana"	"22"	"3"	"3"	112	28.04	6.47	32.01	6.80	32.05	6.84	2046.45	1215.05	29.05	8.66	9.40	5.36	51.74	36.65
	"Louisiana"	"22"	"4"	"4"	143	27.11	6.25	34.06	5.38	34.04	5.88	2352.21	1087.65	29.39	8.69	10.79	5.84	54.08	45.59
	"Louisiana"	"22"	"5"	"5"	203	26.76	6.15	34.56	5.03	34.68	5.24	2473.33	1041.60	29.54	9.09	10.30	5.09	57.77	46.23
	"Louisiana"	"22"	"6"	"6"	413	27.31	6.12	34.67	4.98	34.46	5.39	2510.95	1064.27	29.86	8.58	10.25	5.42	55.01	45.82
	"Louisiana"	"22"	"7"	"7"	1042	27.65	6.18	35.46	4.50	35.56	4.82	2657.36	985.12	29.81	8.58	10.77	5.36	59.06	45.49
	"Louisiana"	"22"	"8"	"8"	5616	27.60	5.80	37.27	2.97	37.32	3.33	3022.63	755.51	28.85	7.80	11.27	4.75	54.12	42.02
	"Louisiana"	"22"	"9"	"9"	50681	27.63	5.64	38.32	1.61	38.26	2.34	3215.11	529.17	27.85	7.27	11.68	4.40	51.17	38.50
	"Louisiana"	"22"	"10"	"10"	1002	27.22	5.42	38.42	1.44	38.41	2.37	3243.41	507.75	27.34	7.01	11.49	4.03	46.32	34.26
	"Louisiana"	"22"	"Unknown or Not Stated"	"99"	94	27.21	5.95	36.32	4.58	36.59	4.68	2724.95	807.21	27.74	6.98	6.24	5.17	48.58	46.38
	"Maine"	"23"	"1"	"1"	33	28.39	4.80	30.15	7.49	30.33	7.47	1798.23	1190.26	27.29	6.06	12.26	5.67	39.15	28.80
	"Maine"	"23"	"2"	"2"	19	28.16	6.78	34.84	7.34	35.37	7.69	2729.22	1094.14	28.56	6.35	12.00	4.79	29.20	8.57
	"Maine"	"23"	"3"	"3"	19	29.26	4.91	37.21	3.86	37.53	4.17	3187.89	907.25	29.08	9.84	14.50	6.26	34.62	15.99
	"Maine"	"23"	"4"	"4"	45	29.36	5.85	34.98	6.10	35.07	6.03	2686.60	1277.55	32.00	8.17	13.14	7.56	66.83	62.91
	"Maine"	"23"	"5"	"5"	67	29.00	5.83	36.67	4.26	37.06	4.40	3020.36	958.71	30.79	9.28	12.70	4.76	60.77	56.12
	"Maine"	"23"	"6"	"6"	125	29.33	5.24	37.12	3.62	37.53	3.75	3061.01	878.08	31.02	9.40	13.40	6.14	51.87	31.59
	"Maine"	"23"	"7"	"7"	285	28.59	5.70	37.20	3.72	37.48	3.91	3089.98	887.74	28.82	7.49	13.69	5.42	53.08	38.70
	"Maine"	"23"	"8"	"8"	1362	28.91	5.38	38.12	2.55	38.32	2.84	3238.07	698.53	28.87	7.38	13.56	4.80	50.36	37.85
	"Maine"	"23"	"9"	"9"	9850	29.13	5.48	38.85	1.54	39.00	1.93	3371.93	530.31	27.77	6.87	13.34	4.13	47.28	33.51
	"Maine"	"23"	"10"	"10"	478	29.38	5.35	39.13	1.32	39.26	1.73	3410.00	493.80	27.09	7.03	12.50	4.20	45.04	35.28
	"Maine"	"23"	"Unknown or Not Stated"	"99"	26	29.69	6.84	37.73	5.01	37.92	5.21	3042.12	836.39	23.30	3.08	6.91	5.36	42.15	37.56
	"Maryland"	"24"	"0"	"0"	56	29.02	5.79	30.52	8.72	31.15	8.49	2154.37	1315.58	27.57	7.62	6.56	4.53	44.54	23.80
	"Maryland"	"24"	"1"	"1"	156	29.24	6.65	25.25	7.21	25.62	7.31	1135.06	1156.47	29.06	7.46	4.92	4.02	53.62	47.94
	"Maryland"	"24"	"2"	"2"	79	29.37	6.80	31.49	7.77	31.62	7.94	2043.88	1338.93	27.48	7.71	7.90	5.03	55.04	46.91
	"Maryland"	"24"	"3"	"3"	93	29.58	5.63	32.73	6.69	32.86	6.75	2139.97	1243.03	29.20	8.22	7.71	4.71	56.17	40.48
	"Maryland"	"24"	"4"	"4"	146	29.74	6.18	34.59	5.92	34.90	6.27	2486.55	1129.46	28.57	7.49	9.28	5.34	64.79	47.40
	"Maryland"	"24"	"5"	"5"	252	29.96	6.17	34.85	5.61	35.22	5.83	2547.08	1171.16	28.26	7.07	9.51	4.47	59.01	43.61
	"Maryland"	"24"	"6"	"6"	481	29.57	6.32	35.38	5.14	35.54	5.38	2656.16	1105.60	28.84	7.48	9.48	4.65	61.27	47.61
	"Maryland"	"24"	"7"	"7"	1072	30.09	6.08	36.12	4.50	36.33	4.78	2784.28	1011.47	28.28	7.26	9.94	4.62	53.73	40.63
	"Maryland"	"24"	"8"	"8"	5071	29.96	5.89	37.52	3.13	37.76	3.43	3080.01	795.55	27.95	7.12	10.55	4.31	54.43	40.42
	"Maryland"	"24"	"9"	"9"	62640	30.03	5.73	38.66	1.67	38.80	2.16	3297.49	542.01	27.07	6.49	10.90	3.94	52.14	38.36
	"Maryland"	"24"	"10"	"10"	813	30.27	5.52	38.93	1.48	39.04	2.00	3368.73	507.20	25.99	6.28	10.36	3.99	44.19	31.52
	"Maryland"	"24"	"Unknown or Not Stated"	"99"	221	29.60	5.58	36.86	4.86	36.85	4.92	2877.99	888.17	26.26	6.18	7.09	5.64	46.97	37.63
	"Massachusetts"	"25"	"0"	"0"	23	31.13	5.93	30.70	7.80	31.00	7.66	1958.20	1154.16	26.91	6.40	8.10	4.29	38.50	33.03
	"Massachusetts"	"25"	"1"	"1"	93	30.10	5.32	27.81	8.11	28.25	8.09	1384.25	1290.79	27.14	6.33	8.25	5.47	69.54	58.13
	"Massachusetts"	"25"	"2"	"2"	88	30.70	5.40	31.67	7.81	31.90	7.80	2041.72	1404.39	27.22	6.18	9.04	4.20	49.27	37.42
	"Massachusetts"	"25"	"3"	"3"	98	31.34	5.48	34.76	6.35	35.05	6.47	2584.64	1206.58	26.41	5.40	10.84	4.88	65.84	56.10
	"Massachusetts"	"25"	"4"	"4"	112	30.59	5.75	35.97	5.01	36.24	5.29	2723.02	1045.00	27.48	6.51	10.57	4.47	58.97	46.28
	"Massachusetts"	"25"	"5"	"5"	269	30.96	5.70	36.03	4.88	36.28	4.91	2727.14	1025.06	27.94	6.51	10.72	4.22	58.24	46.32
	"Massachusetts"	"25"	"6"	"6"	476	31.49	5.71	36.35	4.47	36.49	4.61	2795.27	961.55	26.17	6.18	11.16	4.03	61.02	44.96
	"Massachusetts"	"25"	"7"	"7"	1124	31.24	5.77	36.69	4.12	36.90	4.27	2897.88	920.07	27.88	7.34	11.47	4.23	62.65	47.13
	"Massachusetts"	"25"	"8"	"8"	5518	31.00	5.64	37.81	2.91	38.03	3.15	3133.01	758.29	27.16	6.73	11.76	3.79	55.30	42.37
	"Massachusetts"	"25"	"9"	"9"	59894	30.94	5.42	38.84	1.60	38.99	1.99	3332.26	524.99	26.19	6.06	11.92	3.41	50.98	37.91
	"Massachusetts"	"25"	"10"	"10"	1243	31.16	5.23	39.04	1.37	39.18	1.70	3401.79	482.46	25.92	5.98	12.21	3.47	49.08	36.90
	"Massachusetts"	"25"	"Unknown or Not Stated"	"99"	171	30.81	5.11	36.66	5.56	36.66	5.96	2855.94	931.64	25.59	5.75	9.06	4.87	43.90	40.24
	"Michigan"	"26"	"0"	"0"	54	28.74	5.86	30.42	8.33	30.88	8.10	2106.00	1309.38	30.19	8.30	7.58	5.69	38.09	26.81
	"Michigan"	"26"	"1"	"1"	237	28.32	5.95	27.02	8.05	27.33	8.06	1414.34	1292.88	29.31	7.91	7.69	6.13	48.52	42.44
	"Michigan"	"26"	"2"	"2"	187	28.01	5.59	33.31	7.52	33.69	7.26	2427.15	1232.59	29.25	8.56	10.66	6.14	58.86	45.36
	"Michigan"	"26"	"3"	"3"	200	27.61	5.77	33.82	6.61	33.91	6.90	2423.27	1211.31	29.60	8.78	9.71	5.73	45.87	37.48
	"Michigan"	"26"	"4"	"4"	281	27.74	6.00	35.24	5.63	35.60	5.59	2661.47	1089.26	29.00	8.08	11.21	6.14	52.64	41.23
	"Michigan"	"26"	"5"	"5"	485	28.31	5.73	35.87	4.79	36.09	5.01	2779.06	1031.80	29.25	8.24	12.26	6.05	52.03	41.19
	"Michigan"	"26"	"6"	"6"	903	28.55	6.00	35.92	4.69	36.17	4.88	2763.06	1043.18	29.01	7.48	11.62	5.96	52.30	41.70
	"Michigan"	"26"	"7"	"7"	2345	28.44	5.94	37.00	3.70	37.22	4.05	2961.60	873.70	28.91	7.77	12.28	5.93	52.29	41.46
	"Michigan"	"26"	"8"	"8"	13668	28.45	5.64	38.07	2.54	38.26	2.88	3204.86	694.55	28.34	7.35	12.22	4.91	48.22	36.21
	"Michigan"	"26"	"9"	"9"	88770	28.69	5.51	38.70	1.63	38.84	2.12	3311.93	539.34	27.59	7.00	12.49	4.91	46.47	34.44
	"Michigan"	"26"	"10"	"10"	2609	28.75	5.40	39.07	1.35	39.15	1.88	3409.19	504.22	26.72	6.64	11.11	4.60	40.32	29.52
	"Michigan"	"26"	"Unknown or Not Stated"	"99"	293	28.54	5.82	36.15	5.32	36.15	5.55	2816.92	969.09	26.66	7.20	8.97	6.82	41.11	33.49
	"Minnesota"	"27"	"0"	"0"	20	31.25	6.86	32.79	7.30	31.84	7.68	2362.67	1345.03	30.60	6.25	9.37	5.71	56.13	43.22
	"Minnesota"	"27"	"1"	"1"	134	28.52	5.52	28.80	8.28	29.11	8.48	1748.42	1355.72	27.75	6.97	8.44	5.48	45.82	47.53
	"Minnesota"	"27"	"2"	"2"	157	30.17	5.77	34.47	6.57	34.64	6.93	2541.60	1191.97	27.69	6.82	9.66	5.45	51.05	49.98
	"Minnesota"	"27"	"3"	"3"	134	29.46	5.13	34.68	6.36	34.88	6.58	2530.55	1265.31	28.07	7.19	10.71	5.26	54.74	47.65
	"Minnesota"	"27"	"4"	"4"	222	29.95	5.68	36.33	4.52	36.41	4.63	2901.76	991.24	28.76	7.08	11.18	4.78	53.96	41.01
	"Minnesota"	"27"	"5"	"5"	450	28.94	5.46	36.68	4.50	36.87	4.75	2946.92	978.29	28.51	7.28	10.99	4.54	49.71	39.55
	"Minnesota"	"27"	"6"	"6"	811	29.35	5.70	36.78	4.12	36.96	4.43	2965.14	946.68	28.27	7.18	11.06	4.33	47.70	38.16
	"Minnesota"	"27"	"7"	"7"	2413	29.67	5.58	37.50	3.34	37.67	3.54	3120.63	813.00	28.19	7.02	11.65	4.46	47.51	37.02
	"Minnesota"	"27"	"8"	"8"	10662	30.05	5.30	38.35	2.30	38.52	2.70	3304.22	647.98	27.62	6.73	11.76	4.09	45.70	34.57
	"Minnesota"	"27"	"9"	"9"	50000	29.85	5.25	38.85	1.55	39.00	2.04	3382.85	525.48	27.17	6.40	11.64	3.77	44.09	32.10
	"Minnesota"	"27"	"10"	"10"	2122	29.45	5.21	39.07	1.21	39.26	1.70	3472.24	479.48	27.11	6.47	11.30	3.51	42.04	29.91
	"Minnesota"	"27"	"Unknown or Not Stated"	"99"	219	30.26	5.72	37.97	3.54	38.09	3.83	3182.58	659.69	26.55	5.94	6.85	5.01	36.35	31.19
	"Mississippi"	"28"	"0"	"0"	21	23.57	5.47	31.84	6.04	31.58	6.09	2087.42	1231.25	26.80	7.07	9.16	6.37	47.86	29.92
	"Mississippi"	"28"	"1"	"1"	220	26.71	5.56	29.73	6.94	30.28	7.29	1636.68	1210.44	30.83	9.23	9.42	7.18	57.85	46.82
	"Mississippi"	"28"	"2"	"2"	175	27.48	6.17	34.39	5.87	34.64	5.99	2476.78	1158.01	33.19	9.55	11.78	7.70	52.51	45.75
	"Mississippi"	"28"	"3"	"3"	178	26.65	6.26	34.39	5.23	34.88	5.41	2401.85	1094.78	28.84	8.03	12.05	7.45	56.15	42.44
	"Mississippi"	"28"	"4"	"4"	221	27.64	6.33	34.93	4.93	35.04	5.24	2557.70	1048.11	29.65	8.83	11.12	6.13	57.03	47.24
	"Mississippi"	"28"	"5"	"5"	342	26.65	5.82	35.46	4.51	35.60	4.96	2665.80	1020.53	30.12	8.92	11.36	6.38	57.33	43.18
	"Mississippi"	"28"	"6"	"6"	526	27.21	5.80	35.91	3.94	36.27	4.35	2713.38	900.71	29.59	8.40	12.24	7.17	52.06	42.56
	"Mississippi"	"28"	"7"	"7"	1285	27.08	5.73	36.65	3.41	36.94	3.79	2864.52	843.04	29.60	8.15	11.93	5.27	55.28	41.16
	"Mississippi"	"28"	"8"	"8"	8012	26.81	5.60	37.80	2.22	37.99	2.75	3112.13	638.59	28.82	7.88	12.07	5.01	52.14	39.62
	"Mississippi"	"28"	"9"	"9"	23571	26.90	5.50	38.27	1.60	38.39	2.30	3198.39	527.50	28.56	7.64	11.73	3.94	51.45	37.58
	"Mississippi"	"28"	"10"	"10"	2195	27.11	5.45	38.41	1.21	38.45	1.85	3243.66	470.78	28.34	7.57	11.42	3.24	50.30	36.39
	"Mississippi"	"28"	"Unknown or Not Stated"	"99"	254	28.32	5.51	38.00	4.13	38.21	4.24	3231.14	869.98	26.56	6.32	8.78	5.30	34.62	24.74
	"Missouri"	"29"	"0"	"0"	34	28.21	7.24	32.00	7.33	32.12	7.31	2307.70	1445.45	29.45	7.95	8.22	3.92	75.45	66.87
	"Missouri"	"29"	"1"	"1"	164	28.21	6.00	28.56	7.72	28.91	7.74	1593.45	1211.37	28.71	7.00	6.31	4.35	55.75	44.03
	"Missouri"	"29"	"2"	"2"	124	27.23	5.79	32.51	7.43	32.60	7.31	2271.17	1339.77	27.65	6.85	8.50	5.45	50.03	38.08
	"Missouri"	"29"	"3"	"3"	146	27.97	5.82	33.88	5.82	34.51	6.05	2476.37	1250.01	28.90	7.56	9.09	5.31	57.25	44.58
	"Missouri"	"29"	"4"	"4"	228	27.75	5.83	35.28	5.26	35.51	5.44	2562.62	1092.73	29.20	8.09	9.77	4.26	50.40	42.90
	"Missouri"	"29"	"5"	"5"	394	28.45	6.41	35.72	4.60	35.93	4.75	2710.49	1014.71	29.38	8.11	9.69	4.80	52.54	42.98
	"Missouri"	"29"	"6"	"6"	718	27.76	6.07	35.74	4.33	35.95	4.68	2697.71	943.66	28.44	7.66	10.12	5.16	50.27	43.71
	"Missouri"	"29"	"7"	"7"	1865	28.37	6.03	36.41	3.82	36.58	3.93	2868.79	923.68	28.62	8.01	10.36	4.27	50.74	42.16
	"Missouri"	"29"	"8"	"8"	8859	28.10	5.69	37.78	2.54	37.91	2.85	3150.37	704.90	27.94	7.41	10.76	4.04	48.57	37.65
	"Missouri"	"29"	"9"	"9"	58521	28.11	5.57	38.62	1.47	38.74	1.94	3315.68	518.92	27.21	6.96	11.17	3.70	46.70	34.54
	"Missouri"	"29"	"10"	"10"	1709	28.61	5.50	39.04	1.31	39.16	1.76	3413.42	476.16	26.35	6.43	10.20	4.00	38.57	27.27
	"Missouri"	"29"	"Unknown or Not Stated"	"99"	507	28.93	6.10	37.57	4.16	37.56	4.21	3076.48	827.84	26.75	6.16	6.45	4.43	32.30	28.43
	"Montana"	"30"	"1"	"1"	22	25.86	4.65	33.14	7.13	33.55	7.67	2223.82	1207.52	25.66	7.87	9.59	7.13	44.50	24.60
	"Montana"	"30"	"2"	"2"	36	28.11	5.18	34.94	6.32	34.72	6.53	2640.09	1144.91	29.93	7.08	10.03	5.00	46.53	37.92
	"Montana"	"30"	"3"	"3"	28	29.46	5.69	37.32	4.11	37.25	4.19	3105.64	1041.17	27.80	6.51	10.11	4.16	46.94	43.12
	"Montana"	"30"	"4"	"4"	49	27.10	5.78	36.31	4.37	36.18	4.67	2908.86	1054.07	29.15	8.59	11.22	6.89	40.32	25.49
	"Montana"	"30"	"5"	"5"	68	29.28	5.67	37.37	3.29	37.85	3.53	3048.93	830.05	27.94	6.35	10.33	4.17	52.05	36.59
	"Montana"	"30"	"6"	"6"	204	28.22	5.38	37.59	3.11	37.79	3.36	3079.91	777.77	27.12	6.71	11.25	4.62	46.68	31.56
	"Montana"	"30"	"7"	"7"	564	28.23	5.46	37.85	2.89	37.94	3.28	3152.16	698.80	27.22	6.62	10.92	4.68	46.89	33.91
	"Montana"	"30"	"8"	"8"	2263	28.27	5.59	38.41	2.02	38.55	2.55	3270.43	603.95	27.12	6.47	10.94	4.00	45.87	33.23
	"Montana"	"30"	"9"	"9"	7750	28.56	5.51	38.71	1.51	38.78	2.02	3313.47	510.90	26.70	6.49	11.16	3.74	44.72	32.68
	"Montana"	"30"	"10"	"10"	484	29.32	5.52	39.11	1.34	39.10	1.89	3395.19	462.03	26.08	6.42	11.26	3.90	42.22	29.13
	"Montana"	"30"	"Unknown or Not Stated"	"99"	40	28.80	5.79	37.94	3.22	37.34	3.66	3134.06	534.17	26.78	6.19	5.59	4.23	37.00	27.01
	"Nebraska"	"31"	"0"	"0"	21	28.57	5.74	33.81	6.75	34.00	6.81	2590.71	1365.63	27.16	7.55	9.61	4.67	70.92	50.47
	"Nebraska"	"31"	"1"	"1"	73	27.62	5.47	28.99	8.31	29.67	8.03	1769.69	1416.51	27.81	6.78	6.54	4.94	41.65	40.60
	"Nebraska"	"31"	"2"	"2"	39	26.79	5.12	32.82	6.69	33.10	7.32	2255.58	1256.57	28.99	6.48	9.30	7.48	46.65	33.92
	"Nebraska"	"31"	"3"	"3"	60	27.93	5.32	35.03	5.70	35.12	5.89	2608.58	1192.36	28.09	7.30	11.75	6.37	47.54	23.66
	"Nebraska"	"31"	"4"	"4"	68	27.91	5.41	36.01	4.74	35.87	5.03	2810.94	1046.86	29.79	8.05	11.09	5.88	34.57	24.08
	"Nebraska"	"31"	"5"	"5"	170	29.18	5.16	36.46	3.77	36.66	3.99	2890.60	910.47	28.27	7.06	11.14	5.96	52.64	36.52
	"Nebraska"	"31"	"6"	"6"	316	28.39	5.73	36.27	3.85	36.30	4.12	2886.09	903.62	28.53	7.44	10.32	4.63	45.78	36.51
	"Nebraska"	"31"	"7"	"7"	697	29.01	5.64	36.92	3.33	37.13	3.64	3052.69	846.96	28.70	7.44	11.05	5.24	53.69	41.28
	"Nebraska"	"31"	"8"	"8"	3267	28.77	5.45	38.03	2.36	38.19	2.73	3257.85	670.36	27.78	7.24	11.40	5.14	47.62	34.77
	"Nebraska"	"31"	"9"	"9"	19786	28.83	5.41	38.63	1.50	38.75	1.97	3347.64	515.12	26.95	6.58	11.56	4.27	45.33	32.47
	"Nebraska"	"31"	"10"	"10"	964	29.05	5.20	38.86	1.19	38.91	1.74	3377.20	448.97	26.46	6.42	11.70	3.99	42.81	31.45
	"Nebraska"	"31"	"Unknown or Not Stated"	"99"	27	30.59	4.56	39.22	2.23	39.41	2.33	3286.78	534.70	24.98	5.63	4.63	4.75	32.45	15.59
	"Nevada"	"32"	"0"	"0"	21	28.24	5.40	33.38	7.15	33.81	7.33	2233.95	1156.01	26.15	7.98	7.21	4.84	37.00	34.32
	"Nevada"	"32"	"1"	"1"	58	29.14	5.72	29.40	7.83	30.05	8.01	1707.55	1220.41	27.91	6.13	7.44	5.97	75.68	56.56
	"Nevada"	"32"	"2"	"2"	49	27.96	5.58	30.52	7.66	30.96	7.63	1948.27	1329.94	27.63	8.22	8.00	6.38	48.74	41.01
	"Nevada"	"32"	"3"	"3"	31	27.00	6.79	32.06	6.86	32.74	6.96	2173.32	1381.98	27.57	5.23	6.63	4.85	32.76	29.06
	"Nevada"	"32"	"4"	"4"	53	29.28	6.32	35.52	5.03	35.90	5.30	2615.68	1059.52	27.35	6.74	9.81	5.90	57.61	40.22
