Average Age of Mother (years),Average Birth Weight (grams),Average Interval Since Last Live Birth (months),Average LMP Gestational Age (weeks),Average Number of Prenatal Visits,Average OE Gestational Age (weeks),Average Pre-pregnancy BMI,Births,Five Minute APGAR Score Code,Five Minute APGAR Score,Notes,Number of Records,Standard Deviation for Average Age of Mother,Standard Deviation for Average Birth Weight,Standard Deviation for Average Interval Since Last Live Birth,Standard Deviation for Average LMP Gestational Age,Standard Deviation for Average Number of Prenatal Visits,Standard Deviation for Average OE Gestational Age,Standard Deviation for Average Pre-pregnancy BMI,State of Residence Code,State of Residence
28.47,2934.58,41.37,36.79,11.46,36.12,29.78,76,4,4,,1,5.2,1010.55,27.9,5.27,4.49,5.16,7.46,19,Iowa
27.83,2890.47,47.33,36.84,11.24,36.41,29.77,175,5,5,,1,4.96,968.43,33.13,4.18,3.99,4.07,8.27,19,Iowa
28.62,2777.92,55.61,35.91,10.84,35.66,29.34,355,6,6,,1,5.32,1069.06,46.02,4.9,4.43,4.62,7.91,19,Iowa
28.5,2986.74,48.62,37.08,11.05,36.74,29.19,858,7,7,,1,5.31,908.8,37.71,4.11,4.38,3.81,8.12,19,Iowa
28.51,3207.93,47.56,38,11.61,37.73,28.32,3864,8,8,,1,5.48,722.46,35.91,2.98,3.98,2.64,7.39,19,Iowa
28.52,3376.77,45.59,38.86,12.01,38.67,27.45,30874,9,9,,1,5.3,519.45,32.77,2.05,3.37,1.54,6.86,19,Iowa
28.47,3392.61,39.74,39.09,10.5,38.96,26.54,1241,10,10,,1,5.38,473.33,29.01,1.78,3.92,1.26,6.12,19,Iowa
29.34,3295.62,32.06,37.91,5.25,37.82,25.91,154,99,Unknown or Not Stated,,1,5.78,959.21,25.26,5.11,5.15,5.04,5.44,19,Iowa
30.32,2051.4,49.14,28.6,5.32,28.36,30.57,25,0,0,,1,6.33,1410.19,49.1,8.68,3.82,8.92,7.58,20,Kansas
28.68,1509.9,58.42,27.34,6.28,27.08,30.57,79,1,1,,1,5.8,1283.15,56.01,7.88,4.97,7.92,9.52,20,Kansas
27.21,1921.49,47.55,31.3,7.7,31.02,30.2,43,2,2,,1,6.01,1352.27,44.96,8,5.7,8.11,8.37,20,Kansas
26.76,2650.63,32.67,35.66,9.63,35.29,26.58,38,3,3,,1,5.83,1079.95,20.41,5.85,4.23,5.73,6.76,20,Kansas
26.8,2835.31,56.29,36.07,9.64,35.91,29.5,100,4,4,,1,5.58,1103.28,52.82,5.15,4.81,5.07,7.64,20,Kansas
27.84,2823.61,56.14,36.17,9.47,36.02,28.08,158,5,5,,1,5.39,987.58,45.13,4.66,4.02,4.45,7.2,20,Kansas
28.07,2819.13,45.72,36.17,9.8,36.02,28.7,365,6,6,,1,6.05,999.85,32.96,4.5,4.12,4.47,7.56,20,Kansas
28.4,2975.46,49.2,36.88,10.25,36.84,28.46,689,7,7,,1,5.89,888.81,34.22,3.88,3.83,3.73,6.99,20,Kansas
28.03,3174.99,47.91,37.72,10.7,37.65,28.19,3122,8,8,,1,5.67,732.29,33.99,2.82,3.37,2.71,7.47,20,Kansas
28.29,3334.69,46.8,38.68,11.25,38.62,27.43,30723,9,9,,1,5.55,512.43,34.02,1.71,3.01,1.5,6.75,20,Kansas
28.77,3424.21,40.95,39.11,10.94,39.07,26.13,805,10,10,,1,5.46,486.32,29.12,1.67,2.99,1.34,6.38,20,Kansas
28.05,3142.29,27.18,37.85,6.23,37.78,27.77,114,99,Unknown or Not Stated,,1,5.45,898.37,18.47,4.35,4.54,4.3,6.92,20,Kansas
26.47,1749.07,34.8,30.33,7,29.8,27.53,15,0,0,,1,5.29,1336.34,25.62,9.22,3.96,8.3,6.45,21,Kentucky
28.03,1564.08,60.49,29.02,7.83,28.7,30.18,116,1,1,,1,6.46,1239.38,48.34,7.94,5.05,7.67,7.7,21,Kentucky
26.98,2068.17,46.09,32.72,9.1,32.31,28.34,106,2,2,,1,5.99,1305.38,39.5,7.55,4.82,7.26,7.86,21,Kentucky
28.65,2244.99,63.34,33.32,8.78,33.16,29.18,88,3,3,,1,6.61,1198.5,49.35,6.23,5.32,6,8.48,21,Kentucky
27.31,2562.28,44.12,35.65,9.84,34.98,28.55,114,4,4,,1,5.84,1216.79,29.06,5.54,5.14,5.44,7.59,21,Kentucky
28.23,2707.64,44.49,35.68,8.69,35.52,28.18,273,5,5,,1,6.25,1090.02,38.78,5.48,4.47,5.21,8.26,21,Kentucky
27.69,2660.93,53.5,35.52,10.17,35.28,29.65,407,6,6,,1,5.83,1018.19,38.32,4.84,5.24,4.64,8.61,21,Kentucky
26.58,2889.22,49.6,36.72,10.93,36.36,28.79,1003,7,7,,1,5.63,914.01,40.84,4.22,4.88,3.84,8.19,21,Kentucky
27.17,3148.38,49.93,37.92,11.51,37.62,28.47,5843,8,8,,1,5.81,703.47,38.34,2.97,4.71,2.53,7.6,21,Kentucky
27.51,3301.67,47.85,38.72,11.97,38.45,27.75,44025,9,9,,1,5.6,535.05,35.02,2.2,4.22,1.57,7.26,21,Kentucky
26.93,3351.84,41.95,38.9,11.19,38.77,27.25,1776,10,10,,1,5.57,490.31,31.53,2.05,4.43,1.32,7.2,21,Kentucky
27.56,2927.35,36.85,37.24,4.61,37.32,25.6,156,99,Unknown or Not Stated,,1,5.43,1036.81,31.08,4.65,4.82,4.52,5.85,21,Kentucky
26.65,1813.94,54.06,30.61,5.44,30.67,28.96,34,0,0,,1,6.71,1095.63,38.89,7.7,5.02,7.6,9.67,22,Louisiana
26.91,1193.89,68.59,26.38,6.49,26.15,30.37,169,1,1,,1,5.99,1135.41,53.53,7.26,5.51,7.06,8.24,22,Louisiana
26.08,1808.96,52.09,30.76,8.8,30.29,29.72,106,2,2,,1,5.78,1257.84,41.83,7.93,6.34,7.59,9.04,22,Louisiana
28.04,2046.45,51.74,32.05,9.4,32.01,29.05,112,3,3,,1,6.47,1215.05,36.65,6.84,5.36,6.8,8.66,22,Louisiana
27.11,2352.21,54.08,34.04,10.79,34.06,29.39,143,4,4,,1,6.25,1087.65,45.59,5.88,5.84,5.38,8.69,22,Louisiana
26.76,2473.33,57.77,34.68,10.3,34.56,29.54,203,5,5,,1,6.15,1041.6,46.23,5.24,5.09,5.03,9.09,22,Louisiana
27.31,2510.95,55.01,34.46,10.25,34.67,29.86,413,6,6,,1,6.12,1064.27,45.82,5.39,5.42,4.98,8.58,22,Louisiana
27.65,2657.36,59.06,35.56,10.77,35.46,29.81,1042,7,7,,1,6.18,985.12,45.49,4.82,5.36,4.5,8.58,22,Louisiana
27.6,3022.63,54.12,37.32,11.27,37.27,28.85,5616,8,8,,1,5.8,755.51,42.02,3.33,4.75,2.97,7.8,22,Louisiana
27.63,3215.11,51.17,38.26,11.68,38.32,27.85,50681,9,9,,1,5.64,529.17,38.5,2.34,4.4,1.61,7.27,22,Louisiana
27.22,3243.41,46.32,38.41,11.49,38.42,27.34,1002,10,10,,1,5.42,507.75,34.26,2.37,4.03,1.44,7.01,22,Louisiana
27.21,2724.95,48.58,36.59,6.24,36.32,27.74,94,99,Unknown or Not Stated,,1,5.95,807.21,46.38,4.68,5.17,4.58,6.98,22,Louisiana
28.39,1798.23,39.15,30.33,12.26,30.15,27.29,33,1,1,,1,4.8,1190.26,28.8,7.47,5.67,7.49,6.06,23,Maine
28.16,2729.22,29.2,35.37,12,34.84,28.56,19,2,2,,1,6.78,1094.14,8.57,7.69,4.79,7.34,6.35,23,Maine
29.26,3187.89,34.62,37.53,14.5,37.21,29.08,19,3,3,,1,4.91,907.25,15.99,4.17,6.26,3.86,9.84,23,Maine
29.36,2686.6,66.83,35.07,13.14,34.98,32,45,4,4,,1,5.85,1277.55,62.91,6.03,7.56,6.1,8.17,23,Maine
29,3020.36,60.77,37.06,12.7,36.67,30.79,67,5,5,,1,5.83,958.71,56.12,4.4,4.76,4.26,9.28,23,Maine
29.33,3061.01,51.87,37.53,13.4,37.12,31.02,125,6,6,,1,5.24,878.08,31.59,3.75,6.14,3.62,9.4,23,Maine
28.59,3089.98,53.08,37.48,13.69,37.2,28.82,285,7,7,,1,5.7,887.74,38.7,3.91,5.42,3.72,7.49,23,Maine
28.91,3238.07,50.36,38.32,13.56,38.12,28.87,1362,8,8,,1,5.38,698.53,37.85,2.84,4.8,2.55,7.38,23,Maine
29.13,3371.93,47.28,39,13.34,38.85,27.77,9850,9,9,,1,5.48,530.31,33.51,1.93,4.13,1.54,6.87,23,Maine
29.38,3410,45.04,39.26,12.5,39.13,27.09,478,10,10,,1,5.35,493.8,35.28,1.73,4.2,1.32,7.03,23,Maine
29.69,3042.12,42.15,37.92,6.91,37.73,23.3,26,99,Unknown or Not Stated,,1,6.84,836.39,37.56,5.21,5.36,5.01,3.08,23,Maine
29.02,2154.37,44.54,31.15,6.56,30.52,27.57,56,0,0,,1,5.79,1315.58,23.8,8.49,4.53,8.72,7.62,24,Maryland
29.24,1135.06,53.62,25.62,4.92,25.25,29.06,156,1,1,,1,6.65,1156.47,47.94,7.31,4.02,7.21,7.46,24,Maryland
29.37,2043.88,55.04,31.62,7.9,31.49,27.48,79,2,2,,1,6.8,1338.93,46.91,7.94,5.03,7.77,7.71,24,Maryland
29.58,2139.97,56.17,32.86,7.71,32.73,29.2,93,3,3,,1,5.63,1243.03,40.48,6.75,4.71,6.69,8.22,24,Maryland
29.74,2486.55,64.79,34.9,9.28,34.59,28.57,146,4,4,,1,6.18,1129.46,47.4,6.27,5.34,5.92,7.49,24,Maryland
29.96,2547.08,59.01,35.22,9.51,34.85,28.26,252,5,5,,1,6.17,1171.16,43.61,5.83,4.47,5.61,7.07,24,Maryland
29.57,2656.16,61.27,35.54,9.48,35.38,28.84,481,6,6,,1,6.32,1105.6,47.61,5.38,4.65,5.14,7.48,24,Maryland
30.09,2784.28,53.73,36.33,9.94,36.12,28.28,1072,7,7,,1,6.08,1011.47,40.63,4.78,4.62,4.5,7.26,24,Maryland
29.96,3080.01,54.43,37.76,10.55,37.52,27.95,5071,8,8,,1,5.89,795.55,40.42,3.43,4.31,3.13,7.12,24,Maryland
30.03,3297.49,52.14,38.8,10.9,38.66,27.07,62640,9,9,,1,5.73,542.01,38.36,2.16,3.94,1.67,6.49,24,Maryland
30.27,3368.73,44.19,39.04,10.36,38.93,25.99,813,10,10,,1,5.52,507.2,31.52,2,3.99,1.48,6.28,24,Maryland
29.6,2877.99,46.97,36.85,7.09,36.86,26.26,221,99,Unknown or Not Stated,,1,5.58,888.17,37.63,4.92,5.64,4.86,6.18,24,Maryland
31.13,1958.2,38.5,31,8.1,30.7,26.91,23,0,0,,1,5.93,1154.16,33.03,7.66,4.29,7.8,6.4,25,Massachusetts
30.1,1384.25,69.54,28.25,8.25,27.81,27.14,93,1,1,,1,5.32,1290.79,58.13,8.09,5.47,8.11,6.33,25,Massachusetts
30.7,2041.72,49.27,31.9,9.04,31.67,27.22,88,2,2,,1,5.4,1404.39,37.42,7.8,4.2,7.81,6.18,25,Massachusetts
31.34,2584.64,65.84,35.05,10.84,34.76,26.41,98,3,3,,1,5.48,1206.58,56.1,6.47,4.88,6.35,5.4,25,Massachusetts
30.59,2723.02,58.97,36.24,10.57,35.97,27.48,112,4,4,,1,5.75,1045,46.28,5.29,4.47,5.01,6.51,25,Massachusetts
30.96,2727.14,58.24,36.28,10.72,36.03,27.94,269,5,5,,1,5.7,1025.06,46.32,4.91,4.22,4.88,6.51,25,Massachusetts
31.49,2795.27,61.02,36.49,11.16,36.35,26.17,476,6,6,,1,5.71,961.55,44.96,4.61,4.03,4.47,6.18,25,Massachusetts
31.24,2897.88,62.65,36.9,11.47,36.69,27.88,1124,7,7,,1,5.77,920.07,47.13,4.27,4.23,4.12,7.34,25,Massachusetts
31,3133.01,55.3,38.03,11.76,37.81,27.16,5518,8,8,,1,5.64,758.29,42.37,3.15,3.79,2.91,6.73,25,Massachusetts
30.94,3332.26,50.98,38.99,11.92,38.84,26.19,59894,9,9,,1,5.42,524.99,37.91,1.99,3.41,1.6,6.06,25,Massachusetts
31.16,3401.79,49.08,39.18,12.21,39.04,25.92,1243,10,10,,1,5.23,482.46,36.9,1.7,3.47,1.37,5.98,25,Massachusetts
30.81,2855.94,43.9,36.66,9.06,36.66,25.59,171,99,Unknown or Not Stated,,1,5.11,931.64,40.24,5.96,4.87,5.56,5.75,25,Massachusetts
28.74,2106,38.09,30.88,7.58,30.42,30.19,54,0,0,,1,5.86,1309.38,26.81,8.1,5.69,8.33,8.3,26,Michigan
28.32,1414.34,48.52,27.33,7.69,27.02,29.31,237,1,1,,1,5.95,1292.88,42.44,8.06,6.13,8.05,7.91,26,Michigan
28.01,2427.15,58.86,33.69,10.66,33.31,29.25,187,2,2,,1,5.59,1232.59,45.36,7.26,6.14,7.52,8.56,26,Michigan
27.61,2423.27,45.87,33.91,9.71,33.82,29.6,200,3,3,,1,5.77,1211.31,37.48,6.9,5.73,6.61,8.78,26,Michigan
27.74,2661.47,52.64,35.6,11.21,35.24,29,281,4,4,,1,6,1089.26,41.23,5.59,6.14,5.63,8.08,26,Michigan
28.31,2779.06,52.03,36.09,12.26,35.87,29.25,485,5,5,,1,5.73,1031.8,41.19,5.01,6.05,4.79,8.24,26,Michigan
28.55,2763.06,52.3,36.17,11.62,35.92,29.01,903,6,6,,1,6,1043.18,41.7,4.88,5.96,4.69,7.48,26,Michigan
28.44,2961.6,52.29,37.22,12.28,37,28.91,2345,7,7,,1,5.94,873.7,41.46,4.05,5.93,3.7,7.77,26,Michigan
28.45,3204.86,48.22,38.26,12.22,38.07,28.34,13668,8,8,,1,5.64,694.55,36.21,2.88,4.91,2.54,7.35,26,Michigan
28.69,3311.93,46.47,38.84,12.49,38.7,27.59,88770,9,9,,1,5.51,539.34,34.44,2.12,4.91,1.63,7,26,Michigan
28.75,3409.19,40.32,39.15,11.11,39.07,26.72,2609,10,10,,1,5.4,504.22,29.52,1.88,4.6,1.35,6.64,26,Michigan
28.54,2816.92,41.11,36.15,8.97,36.15,26.66,293,99,Unknown or Not Stated,,1,5.82,969.09,33.49,5.55,6.82,5.32,7.2,26,Michigan
31.25,2362.67,56.13,31.84,9.37,32.79,30.6,20,0,0,,1,6.86,1345.03,43.22,7.68,5.71,7.3,6.25,27,Minnesota
28.52,1748.42,45.82,29.11,8.44,28.8,27.75,134,1,1,,1,5.52,1355.72,47.53,8.48,5.48,8.28,6.97,27,Minnesota
30.17,2541.6,51.05,34.64,9.66,34.47,27.69,157,2,2,,1,5.77,1191.97,49.98,6.93,5.45,6.57,6.82,27,Minnesota
29.46,2530.55,54.74,34.88,10.71,34.68,28.07,134,3,3,,1,5.13,1265.31,47.65,6.58,5.26,6.36,7.19,27,Minnesota
29.95,2901.76,53.96,36.41,11.18,36.33,28.76,222,4,4,,1,5.68,991.24,41.01,4.63,4.78,4.52,7.08,27,Minnesota
28.94,2946.92,49.71,36.87,10.99,36.68,28.51,450,5,5,,1,5.46,978.29,39.55,4.75,4.54,4.5,7.28,27,Minnesota
29.35,2965.14,47.7,36.96,11.06,36.78,28.27,811,6,6,,1,5.7,946.68,38.16,4.43,4.33,4.12,7.18,27,Minnesota
29.67,3120.63,47.51,37.67,11.65,37.5,28.19,2413,7,7,,1,5.58,813,37.02,3.54,4.46,3.34,7.02,27,Minnesota
30.05,3304.22,45.7,38.52,11.76,38.35,27.62,10662,8,8,,1,5.3,647.98,34.57,2.7,4.09,2.3,6.73,27,Minnesota
29.85,3382.85,44.09,39,11.64,38.85,27.17,50000,9,9,,1,5.25,525.48,32.1,2.04,3.77,1.55,6.4,27,Minnesota
29.45,3472.24,42.04,39.26,11.3,39.07,27.11,2122,10,10,,1,5.21,479.48,29.91,1.7,3.51,1.21,6.47,27,Minnesota
30.26,3182.58,36.35,38.09,6.85,37.97,26.55,219,99,Unknown or Not Stated,,1,5.72,659.69,31.19,3.83,5.01,3.54,5.94,27,Minnesota
23.57,2087.42,47.86,31.58,9.16,31.84,26.8,21,0,0,,1,5.47,1231.25,29.92,6.09,6.37,6.04,7.07,28,Mississippi
26.71,1636.68,57.85,30.28,9.42,29.73,30.83,220,1,1,,1,5.56,1210.44,46.82,7.29,7.18,6.94,9.23,28,Mississippi
27.48,2476.78,52.51,34.64,11.78,34.39,33.19,175,2,2,,1,6.17,1158.01,45.75,5.99,7.7,5.87,9.55,28,Mississippi
26.65,2401.85,56.15,34.88,12.05,34.39,28.84,178,3,3,,1,6.26,1094.78,42.44,5.41,7.45,5.23,8.03,28,Mississippi
27.64,2557.7,57.03,35.04,11.12,34.93,29.65,221,4,4,,1,6.33,1048.11,47.24,5.24,6.13,4.93,8.83,28,Mississippi
26.65,2665.8,57.33,35.6,11.36,35.46,30.12,342,5,5,,1,5.82,1020.53,43.18,4.96,6.38,4.51,8.92,28,Mississippi
27.21,2713.38,52.06,36.27,12.24,35.91,29.59,526,6,6,,1,5.8,900.71,42.56,4.35,7.17,3.94,8.4,28,Mississippi
27.08,2864.52,55.28,36.94,11.93,36.65,29.6,1285,7,7,,1,5.73,843.04,41.16,3.79,5.27,3.41,8.15,28,Mississippi
26.81,3112.13,52.14,37.99,12.07,37.8,28.82,8012,8,8,,1,5.6,638.59,39.62,2.75,5.01,2.22,7.88,28,Mississippi
26.9,3198.39,51.45,38.39,11.73,38.27,28.56,23571,9,9,,1,5.5,527.5,37.58,2.3,3.94,1.6,7.64,28,Mississippi
27.11,3243.66,50.3,38.45,11.42,38.41,28.34,2195,10,10,,1,5.45,470.78,36.39,1.85,3.24,1.21,7.57,28,Mississippi
28.32,3231.14,34.62,38.21,8.78,38,26.56,254,99,Unknown or Not Stated,,1,5.51,869.98,24.74,4.24,5.3,4.13,6.32,28,Mississippi
28.21,2307.7,75.45,32.12,8.22,32,29.45,34,0,0,,1,7.24,1445.45,66.87,7.31,3.92,7.33,7.95,29,Missouri
28.21,1593.45,55.75,28.91,6.31,28.56,28.71,164,1,1,,1,6,1211.37,44.03,7.74,4.35,7.72,7,29,Missouri
27.23,2271.17,50.03,32.6,8.5,32.51,27.65,124,2,2,,1,5.79,1339.77,38.08,7.31,5.45,7.43,6.85,29,Missouri
27.97,2476.37,57.25,34.51,9.09,33.88,28.9,146,3,3,,1,5.82,1250.01,44.58,6.05,5.31,5.82,7.56,29,Missouri
27.75,2562.62,50.4,35.51,9.77,35.28,29.2,228,4,4,,1,5.83,1092.73,42.9,5.44,4.26,5.26,8.09,29,Missouri
28.45,2710.49,52.54,35.93,9.69,35.72,29.38,394,5,5,,1,6.41,1014.71,42.98,4.75,4.8,4.6,8.11,29,Missouri
27.76,2697.71,50.27,35.95,10.12,35.74,28.44,718,6,6,,1,6.07,943.66,43.71,4.68,5.16,4.33,7.66,29,Missouri
28.37,2868.79,50.74,36.58,10.36,36.41,28.62,1865,7,7,,1,6.03,923.68,42.16,3.93,4.27,3.82,8.01,29,Missouri
28.1,3150.37,48.57,37.91,10.76,37.78,27.94,8859,8,8,,1,5.69,704.9,37.65,2.85,4.04,2.54,7.41,29,Missouri
28.11,3315.68,46.7,38.74,11.17,38.62,27.21,58521,9,9,,1,5.57,518.92,34.54,1.94,3.7,1.47,6.96,29,Missouri
28.61,3413.42,38.57,39.16,10.2,39.04,26.35,1709,10,10,,1,5.5,476.16,27.27,1.76,4,1.31,6.43,29,Missouri
28.93,3076.48,32.3,37.56,6.45,37.57,26.75,507,99,Unknown or Not Stated,,1,6.1,827.84,28.43,4.21,4.43,4.16,6.16,29,Missouri
25.86,2223.82,44.5,33.55,9.59,33.14,25.66,22,1,1,,1,4.65,1207.52,24.6,7.67,7.13,7.13,7.87,30,Montana
28.11,2640.09,46.53,34.72,10.03,34.94,29.93,36,2,2,,1,5.18,1144.91,37.92,6.53,5,6.32,7.08,30,Montana
29.46,3105.64,46.94,37.25,10.11,37.32,27.8,28,3,3,,1,5.69,1041.17,43.12,4.19,4.16,4.11,6.51,30,Montana
27.1,2908.86,40.32,36.18,11.22,36.31,29.15,49,4,4,,1,5.78,1054.07,25.49,4.67,6.89,4.37,8.59,30,Montana
29.28,3048.93,52.05,37.85,10.33,37.37,27.94,68,5,5,,1,5.67,830.05,36.59,3.53,4.17,3.29,6.35,30,Montana
28.22,3079.91,46.68,37.79,11.25,37.59,27.12,204,6,6,,1,5.38,777.77,31.56,3.36,4.62,3.11,6.71,30,Montana
28.23,3152.16,46.89,37.94,10.92,37.85,27.22,564,7,7,,1,5.46,698.8,33.91,3.28,4.68,2.89,6.62,30,Montana
28.27,3270.43,45.87,38.55,10.94,38.41,27.12,2263,8,8,,1,5.59,603.95,33.23,2.55,4,2.02,6.47,30,Montana
28.56,3313.47,44.72,38.78,11.16,38.71,26.7,7750,9,9,,1,5.51,510.9,32.68,2.02,3.74,1.51,6.49,30,Montana
29.32,3395.19,42.22,39.1,11.26,39.11,26.08,484,10,10,,1,5.52,462.03,29.13,1.89,3.9,1.34,6.42,30,Montana
28.8,3134.06,37,37.34,5.59,37.94,26.78,40,99,Unknown or Not Stated,,1,5.79,534.17,27.01,3.66,4.23,3.22,6.19,30,Montana
28.57,2590.71,70.92,34,9.61,33.81,27.16,21,0,0,,1,5.74,1365.63,50.47,6.81,4.67,6.75,7.55,31,Nebraska
27.62,1769.69,41.65,29.67,6.54,28.99,27.81,73,1,1,,1,5.47,1416.51,40.6,8.03,4.94,8.31,6.78,31,Nebraska
26.79,2255.58,46.65,33.1,9.3,32.82,28.99,39,2,2,,1,5.12,1256.57,33.92,7.32,7.48,6.69,6.48,31,Nebraska
27.93,2608.58,47.54,35.12,11.75,35.03,28.09,60,3,3,,1,5.32,1192.36,23.66,5.89,6.37,5.7,7.3,31,Nebraska
27.91,2810.94,34.57,35.87,11.09,36.01,29.79,68,4,4,,1,5.41,1046.86,24.08,5.03,5.88,4.74,8.05,31,Nebraska
29.18,2890.6,52.64,36.66,11.14,36.46,28.27,170,5,5,,1,5.16,910.47,36.52,3.99,5.96,3.77,7.06,31,Nebraska
28.39,2886.09,45.78,36.3,10.32,36.27,28.53,316,6,6,,1,5.73,903.62,36.51,4.12,4.63,3.85,7.44,31,Nebraska
29.01,3052.69,53.69,37.13,11.05,36.92,28.7,697,7,7,,1,5.64,846.96,41.28,3.64,5.24,3.33,7.44,31,Nebraska
28.77,3257.85,47.62,38.19,11.4,38.03,27.78,3267,8,8,,1,5.45,670.36,34.77,2.73,5.14,2.36,7.24,31,Nebraska
28.83,3347.64,45.33,38.75,11.56,38.63,26.95,19786,9,9,,1,5.41,515.12,32.47,1.97,4.27,1.5,6.58,31,Nebraska
29.05,3377.2,42.81,38.91,11.7,38.86,26.46,964,10,10,,1,5.2,448.97,31.45,1.74,3.99,1.19,6.42,31,Nebraska
30.59,3286.78,32.45,39.41,4.63,39.22,24.98,27,99,Unknown or Not Stated,,1,4.56,534.7,15.59,2.33,4.75,2.23,5.63,31,Nebraska
28.24,2233.95,37,33.81,7.21,33.38,26.15,21,0,0,,1,5.4,1156.01,34.32,7.33,4.84,7.15,7.98,32,Nevada
29.14,1707.55,75.68,30.05,7.44,29.4,27.91,58,1,1,,1,5.72,1220.41,56.56,8.01,5.97,7.83,6.13,32,Nevada
27.96,1948.27,48.74,30.96,8,30.52,27.63,49,2,2,,1,5.58,1329.94,41.01,7.63,6.38,7.66,8.22,32,Nevada
27,2173.32,32.76,32.74,6.63,32.06,27.57,31,3,3,,1,6.79,1381.98,29.06,6.96,4.85,6.86,5.23,32,Nevada
29.28,2615.68,57.61,35.9,9.81,35.52,27.35,53,4,4,,1,6.32,1059.52,40.22,5.3,5.9,5.03,6.74,32,Nevada
28.18,2587.79,67.41,35.31,10.09,35.07,27.52,91,5,5,,1,5.69,1037.05,49.08,5.71,7.31,5.2,7.18,32,Nevada
29.64,2518.24,59.3,34.98,10.01,34.77,27.55,196,6,6,,1,5.99,1054.86,43.82,5.51,5.47,5.19,7.32,32,Nevada
29.53,2738.26,57.55,36.46,10.77,36.15,27.68,721,7,7,,1,6.12,958.61,46.59,4.66,6.87,4.44,7.52,32,Nevada
29.19,3164.76,55.69,38.14,11.21,37.92,27.32,4126,8,8,,1,6.01,700.87,42.64,2.98,5.94,2.62,6.7,32,Nevada
28.63,3254.16,52.3,38.79,11.55,38.6,26.74,29846,9,9,,1,5.89,501.53,39.69,2.16,5.55,1.54,6.48,32,Nevada
29.3,3314.67,46.46,39.14,9.99,39.05,25.11,434,10,10,,1,5.66,463.3,34.29,1.84,4.44,1.31,5.89,32,Nevada
28.95,3131.02,36.37,38.08,9.65,38.04,25.38,56,99,Unknown or Not Stated,,1,5.65,634.44,23.39,2.87,7.43,2.79,5.36,32,Nevada
29.47,1867.26,51.45,29.89,9.26,30.21,27.44,19,1,1,,1,4.46,1426.76,34.53,8.21,5.98,8.9,8.35,33,New Hampshire
27.93,2785.13,35.67,36.33,11.21,36.53,25.6,15,2,2,,1,5.58,1138,14.6,6.67,3.3,6.01,5.42,33,New Hampshire
29.73,2810.36,69.4,37,12.59,36.68,28.33,22,3,3,,1,5.16,768.57,57.82,2.98,5.27,3.11,6.17,33,New Hampshire
30.15,3092.81,58.92,37.3,12.48,37.3,31.24,33,4,4,,1,5.43,809.91,36.51,3.83,3.52,3.8,7.63,33,New Hampshire
28.62,3184.48,38.31,37.29,12.78,37.25,28.91,55,5,5,,1,5.43,936.17,31.39,3.52,3.77,3.54,7.06,33,New Hampshire
30.5,3016.29,57.46,37.18,12.57,37.14,27.66,96,6,6,,1,6.05,908.86,44.11,4.17,4.88,3.96,6.76,33,New Hampshire
30.54,3090.83,50.32,37.65,12.52,37.4,28.41,245,7,7,,1,5.69,888.31,37.49,3.69,4.34,3.58,7.41,33,New Hampshire
29.61,3294.14,48.25,38.68,12.75,38.44,27.58,1365,8,8,,1,5.43,665.86,37.15,2.71,3.93,2.45,6.93,33,New Hampshire
29.88,3371.51,48.27,39.03,12.67,38.88,27.05,9471,9,9,,1,5.34,547.06,34.81,2.07,3.86,1.75,6.64,33,New Hampshire
30.06,3437.13,45.46,39.3,12.6,39.12,26.16,643,10,10,,1,5.03,504.98,33.91,1.68,3.57,1.29,6.29,33,New Hampshire
30.66,2888.31,41.61,36.3,8.18,36.3,25.2,29,99,Unknown or Not Stated,,1,5.38,1100.43,24.77,5.85,5.84,5.98,5.68,33,New Hampshire
31.19,1998.47,58.42,31.29,7.19,31.03,27.4,31,0,0,,1,3.34,1285.06,26.72,8.22,4.88,7.8,6.06,34,New Jersey
29.24,1294.81,57.36,27.82,6.34,27.29,27.08,126,1,1,,1,6.29,1107.25,40.7,7.58,4.61,7.23,6.22,34,New Jersey
29.72,1623.45,75.26,29.82,6.31,29.18,27.81,65,2,2,,1,6.57,1309.39,52.33,7.85,4.46,7.92,6.81,34,New Jersey
29.99,2004.3,62.06,32.24,7.01,32.04,28.66,75,3,3,,1,5.94,1259.25,49.55,6.71,4.51,6.69,8.05,34,New Jersey
30.28,2496.63,62,34.97,8.96,34.58,28.1,116,4,4,,1,6.58,1159.84,53.87,6.27,4.11,5.84,6.92,34,New Jersey
29.16,2622.92,56.61,35.61,8.76,35.53,26.75,184,5,5,,1,5.88,1109.81,42.61,5.57,4.49,5.49,6.59,34,New Jersey
30.01,2487.06,61.36,35,8.86,34.78,27.63,434,6,6,,1,6.03,1100.43,46.74,5.78,4.45,5.6,7.39,34,New Jersey
30.5,2608.71,60.36,35.71,9.45,35.5,27.97,964,7,7,,1,5.99,1059.87,48.11,5.12,4.34,4.91,7.25,34,New Jersey
30.74,2963.87,57.41,37.22,10.04,37.05,27.3,4871,8,8,,1,5.82,851.81,44.23,3.72,3.92,3.49,6.8,34,New Jersey
30.62,3291.69,52.42,38.81,10.67,38.69,26.39,93206,9,9,,1,5.63,523.22,39.65,2.09,3.42,1.63,6.04,34,New Jersey
